idx,cap,R0_mOhm,R_end_mOhm,rmse,rise,sigma,railed,pass_,c1,c2
1,1.8564874208181574,144.35187678341188,235.14831723141387,0.12972388822835915,14.652147445917535,0.012011931929209156,False,True,-1.3049001000161355,1.9338939341886872
3,1.846327249719927,144.18802969689415,235.84291636515673,0.1232873194721322,14.335646031057706,0.012334018467784138,False,True,-1.2654020284575194,1.9010642735199945
5,1.8353491942234077,142.08805371480412,232.4086690481087,0.12091892399795248,14.084530525862988,0.011676239169859324,False,True,-1.2352809542729113,1.8709474510115747
7,1.8352625275821128,140.63225333424208,232.33052258015672,0.12499988290746981,14.108068037117334,0.012168736507644114,False,True,-1.264037647894457,1.9160805973021895
9,1.8346455082120419,138.6055040931338,231.39706321566598,0.12687313219501556,14.140595614085555,0.012336764227244178,False,True,-1.2767494063575133,1.9462145890690334
11,1.8356616600675495,138.89888413372682,232.81746920644463,0.12850356014526415,14.229397669472462,0.012127750624995335,False,True,-1.2701906580070628,1.9463558097896816
13,1.8351461429226603,139.22486019210743,234.33728186969762,0.12972796635357592,14.235822946429721,0.012607709871193766,False,True,-1.2738780171320814,1.9570349012284325
15,1.8257567905665537,137.75717064917848,229.24106444909378,0.11954031633058337,13.80350143457656,0.011407081857509405,False,True,-1.2281092252314836,1.8922045559413037
17,1.8247738529891333,137.61658843348047,230.2891296391033,0.12160518034906379,13.891056271332332,0.011535359531723579,False,True,-1.2530279953267358,1.9264391172019
19,1.824613268496936,136.7336038113055,231.1684553283422,0.12540591024501221,13.954923620632258,0.011893226597758157,False,True,-1.2747416678360348,1.9653901177032542
21,1.8246195526864504,135.28948252531168,231.912278203486,0.1318347375872834,14.104718071788682,0.012989330960575104,False,True,-1.2953654681237963,2.0095584258808556
24,1.8142019357673917,137.53327190313493,230.50374181608154,0.12244278132914486,13.77764600378049,0.011600159501855951,False,True,-1.2306194129330676,1.9066047118098803
26,1.8137521577549054,137.24391291691487,232.61677150651576,0.12940101344129823,13.845846734525537,0.012142655746557684,False,True,-1.2608808662043205,1.9557959015060173
28,1.8134404914735822,135.99698303017993,232.2664722455389,0.13296858001117526,14.072310729819833,0.01207195613444776,False,True,-1.2808919977310222,1.9887715923393467
30,1.8025980036306504,133.78036537734954,227.07391903531172,0.12587872406348835,13.741466689435129,0.011607030786147757,False,True,-1.247628355575827,1.9449919290330553
32,1.80210690024615,133.05494995548997,227.70922161132887,0.12840519789360805,13.872944741868082,0.012255159663486469,False,True,-1.2730114886995108,1.9844038246291622
34,1.802579500826209,133.22287700448126,229.97439392827852,0.13291001525028162,13.95667580336044,0.012476459949918011,False,True,-1.2864309446458375,2.0126689534567626
36,1.8030683142834096,134.25117937950077,232.47398678543942,0.1381305618927549,14.096334329174795,0.013371421941704542,False,True,-1.3080904039338879,2.0397250000686658
38,1.8027776247196041,134.13186505477736,233.5606816339103,0.14320856054509254,14.185140915471948,0.013395609817032875,False,True,-1.3096290403766033,2.050905667958929
41,1.8470259949329193,138.22392620605993,226.5875486269498,0.1349275201719139,13.888783779296375,0.011476421728240715,False,True,-1.21880028817598,1.8580790646242786
45,1.847417311283644,141.63196363218452,236.61929152734766,0.14054272559732725,14.07016945722529,0.012731788640043484,False,True,-1.2262778053111516,1.896940877820994
49,1.8361774213478947,137.09466781162726,230.18912565772175,0.13885000311002174,13.948275574114973,0.012242621616857909,False,True,-1.233058265456544,1.91211062636973
53,1.8257807475776242,133.61857843951918,225.96962249869225,0.14250251967399422,13.949234677873733,0.011930383206195409,False,True,-1.2463370744892186,1.9374912922462546
57,1.8251136435078368,132.39032202458247,226.70496372324277,0.1465754095330443,14.110271378053937,0.011993073200914124,False,True,-1.271590227004847,1.983988537216282
61,1.8255815042203762,132.66275514492708,229.84252571974997,0.1522509255190061,14.246717551430208,0.01265267714258921,False,True,-1.3243781296445474,2.0569105609864047
65,1.8140311275083907,131.07222601209855,225.20658540077247,0.1497162627601774,14.043746186110468,0.012183735260232104,False,True,-1.289683073267282,2.007870001594759
69,1.8147691941158939,130.87318878250565,228.38275871034125,0.15724122305085983,14.29946773136021,0.012681344746410143,False,True,-1.3415994916416132,2.0866685988816296
73,1.813969388710352,130.87849329276602,230.03749017141428,0.1619178927198507,14.433546048604114,0.013128828261624419,False,True,-1.3689850822740839,2.1266267267025274
77,1.802765665167823,130.1307406906266,226.4440052375065,0.15941884173992596,14.20085769442386,0.01237687734510852,False,True,-1.3115249652748526,2.051651887136117
81,1.804077040117352,131.17560501750003,230.20920115079187,0.16338098441559537,14.392900662846728,0.012925943811669562,False,True,-1.3503116165504074,2.1052812324334815
85,1.8518025516704486,132.363374187074,232.18039899645353,0.2138002291344525,14.67666650056077,0.01734804531919435,False,True,-1.3325903241012333,2.0867039557793174
89,1.8307038456739428,135.9170030219304,231.684776301638,0.20332320660957423,14.287220103926472,0.02494736495276275,False,True,-1.3348329538125399,2.039437757850599
93,1.8199041089501267,133.5029342306557,228.83138894731127,0.20802921332487545,14.308408700187329,0.026073723174102715,False,True,-1.3577198857855786,2.07177501323285
97,1.8093079637028517,129.36323048214112,225.26331472272574,0.20198605395955851,14.32194371135165,0.027068150567474095,False,True,-1.3971379780712936,2.138462107680316
101,1.80460990458052,130.61902732170907,228.70217691474312,0.2000682669524065,14.3405600102883,0.02595389829235069,False,True,-1.4919805139791604,2.242890634841257
105,1.7993770651972192,134.92814321436467,232.40477742039081,0.21033438034126112,14.36112038390229,0.022116143100094805,False,True,-1.3720158680889427,2.0944495419234808
109,1.7884432335370462,131.4130872546729,229.19370500958547,0.2095563842140057,14.317003853809467,0.03073666425100542,False,True,-1.3853164242582021,2.1293870476460994
113,1.7829230484252723,130.57003962727032,229.46371435729344,0.21678364966998134,14.557984921026161,0.030146323277937582,False,True,-1.4177338606323582,2.1751332993728867
117,1.7730337158018288,128.48929919494114,228.52781753623933,0.20888138802751507,14.518922832738554,0.02902817828300442,False,True,-1.422032463269017,2.200607169241395
121,1.773037755078937,131.83894315750422,234.90430343209948,0.2200028178840049,14.959371983891572,0.025194512986575032,False,True,-1.4215803217646499,2.203332342876242
125,1.7678721106662054,138.08668189275593,240.26379100913763,0.2087426576467732,14.728714061595383,0.014332062315345418,False,True,-1.3601682380591813,2.1001172882922576
129,1.7623150704093087,139.89562128268298,240.62754333441183,0.21512049511032771,14.616668328231015,0.022734898420471963,False,True,-1.336411335019922,2.0564619064969434
133,1.7676172924938447,136.4507142904483,241.13792438345456,0.24431420778889476,14.51083922740412,0.029941776646638916,False,True,-1.4161630757276413,2.1833793606506324
135,1.762668359743147,135.9374827570921,236.45875990701205,0.22845899096512126,14.441304705946948,0.031548488417273285,False,True,-1.4683590835731906,2.207826043760634
139,1.7517304870664143,131.7619611240951,233.99867246711125,0.23263277790179954,14.766334581785031,0.026178675202871704,False,True,-1.4782139884496497,2.254133764315222
143,1.7418496047960008,131.3785614936983,233.346458493328,0.22636105651642843,14.805312964989355,0.03089174089521121,False,True,-1.4896880537516022,2.2658260768834864
